"","title","code","type","last.update.of.data","last.table.structure.change","data.start","data.end","values","hierarchy"
"187","Land cover overview by NUTS 2 region","lan_lcv_ovw","dataset","18.07.2022","10.01.2024","2009","2018",146448,3
"188","Land covered by artificial surfaces by NUTS 2 region","lan_lcv_art","dataset","15.07.2021","10.01.2024","2009","2018",24995,3
"189","Land use overview by NUTS 2 region","lan_use_ovw","dataset","14.07.2021","10.01.2024","2009","2018",68238,3
"190","Land cover for FAO Forest categories by NUTS 2 region","lan_lcv_fao","dataset","18.05.2021","10.01.2024","2009","2018",16342,3
"191","Gross domestic product (GDP) at current market prices by NUTS 2 region","nama_10r_2gdp","dataset","19.02.2024","19.02.2024","2000","2022",69176,6
"192","Gross domestic product (GDP) and Gross value added (GVA) in volume by NUTS 2 region","nama_10r_2gvagr","dataset","19.02.2024","19.02.2024","1995","2022",39297,6
"193","Gross fixed capital formation by NUTS 2 region","nama_10r_2gfcf","dataset","19.02.2024","19.02.2024","1995","2022",267294,6
"194","Compensation of employees by NUTS 2 region","nama_10r_2coe","dataset","19.02.2024","19.02.2024","1995","2022",270976,6
"195","Employment (thousand hours worked) by NUTS 2 region","nama_10r_2emhrw","dataset","08.08.2024","19.02.2024","1995","2022",260118,6
"196","Income of households by NUTS 2 region","nama_10r_2hhinc","dataset","19.02.2024","19.02.2024","1995","2022",266524,6
"197","Nominal Labour productivity by NUTS 2 region","nama_10r_2nlp","dataset","19.02.2024","19.02.2024","2000","2022",53130,6
"198","Real Labour productivity by NUTS 2 region","nama_10r_2rlp","dataset","13.03.2024","19.02.2024","2000","2022",34000,6
"199","Compensation per employee and hours worked per employed person by NUTS 2 region and by industry","nama_10r_2lp10","dataset","19.02.2024","19.02.2024","1995","2022",417670,6
"200","Population by current activity status, educational attainment level and NUTS 2 region","cens_11aed_r2","dataset","01.04.2019","10.01.2024","2011","2011",2425928,6
"201","Population by current activity status, occupation and NUTS 2 region","cens_11ao_r2","dataset","26.08.2015","10.01.2024","2011","2011",3172833,6
"202","Population by current activity status, NACE Rev. 2 activity and NUTS 2 region","cens_11an_r2","dataset","23.07.2015","31.01.2024","2011","2011",3110101,6
"203","Population by status in employment, occupation and NUTS 2 region","cens_11empo_r2","dataset","01.04.2019","10.01.2024","2011","2011",3675197,6
"204","Population by status in employment, NACE Rev. 2 activity and NUTS 2 region","cens_11empn_r2","dataset","22.07.2015","31.01.2024","2011","2011",3694015,6
"205","Population by group of citizenship, occupation and NUTS 2 region","cens_11ctzo_r2","dataset","26.08.2015","10.01.2024","2011","2011",789038,6
"206","Population by group of country of birth, educational attainment level and NUTS 2 region","cens_11cobe_r2","dataset","26.08.2015","10.01.2024","2011","2011",705614,6
"207","Population by group of country of birth, current activity status and NUTS 2 region","cens_11coba_r2","dataset","26.08.2015","10.01.2024","2011","2011",424630,6
"208","Population by group of country of birth, occupation and NUTS 2 region","cens_11cobo_r2","dataset","26.08.2015","10.01.2024","2011","2011",788639,6
"209","Population by period of arrival in the country, country of birth and NUTS 2 region","cens_11arco_r2","dataset","26.08.2015","10.01.2024","2011","2011",111921,6
"210","Private households by type, tenure status and NUTS 2 region","cens_11htts_r2","dataset","23.04.2015","10.01.2024","2011","2011",57341,5
"211","Population by housing arrangement and NUTS 2 region","cens_11hou_r2","dataset","26.08.2015","10.01.2024","2011","2011",76991,5
"212","Population structure indicators by NUTS 2 region","demo_r_pjanind2","dataset","05.11.2024","12.02.2024","1990","2023",690593,4
"213","Population on 1 January by age, sex and NUTS 2 region","demo_r_d2jan","dataset","05.11.2024","02.02.2024","1990","2023",4407435,4
"214","Population on 1 January by age group, sex and NUTS 2 region","demo_r_pjangroup","dataset","05.11.2024","02.02.2024","1990","2023",969191,4
"215","Fertility indicators by NUTS 2 region","demo_r_find2","dataset","03.09.2024","22.02.2024","1990","2022",38194,4
"216","Fertility rates by age and NUTS 2 region","demo_r_frate2","dataset","03.09.2024","22.02.2024","1990","2022",462529,4
"217","Live births by mother's age and NUTS 2 region","demo_r_fagec","dataset","03.09.2024","22.02.2024","1990","2022",509535,4
"218","Life table by age, sex and NUTS 2 region","demo_r_mlife","dataset","05.09.2024","14.03.2024","1990","2022",25135126,4
"219","Life expectancy by age, sex and NUTS 2 region","demo_r_mlifexp","dataset","05.09.2024","07.03.2024","1990","2022",3218021,4
"220","Deaths by age, sex and NUTS 2 region","demo_r_magec","dataset","05.09.2024","14.03.2024","1990","2022",3980520,4
"221","Infant mortality rates by NUTS 2 region","demo_r_minfind","dataset","31.07.2024","14.03.2024","1990","2022",12746,4
"222","Infant mortality by NUTS 2 region","demo_r_minf","dataset","05.09.2024","14.03.2024","1990","2022",12169,4
"223","Deaths by week, sex and NUTS 2 region","demo_r_mwk2_ts","dataset","05.11.2024","05.11.2024","2000-W01","2024-W43",1124045,4
"224","Deaths by week, sex, 20-year age group and NUTS 2 region","demo_r_mwk2_20","dataset","05.11.2024","05.11.2024","2000-W01","2024-W43",7679718,4
"225","Deaths by week, sex, 10-year age group and NUTS 2 region","demo_r_mwk2_10","dataset","05.11.2024","05.11.2024","2000-W01","2024-W43",14255736,4
"226","Deaths by week, sex, 5-year age group and NUTS 2 region","demo_r_mwk2_05","dataset","05.11.2024","05.11.2024","2000-W01","2024-W43",23027184,4
"227","Physicians by NUTS 2 region","hlth_rs_physreg","dataset","11.09.2024","25.07.2024","1993","2022",17901,6
"228","Available beds in hospitals by NUTS 2 region","hlth_rs_bdsrg2","dataset","03.09.2024","25.07.2024","1993","2022",16926,6
"229","Health personnel by NUTS 2 region - historical data (1993-2021)","hlth_rs_prsrg","dataset","20.12.2022","10.01.2024","1993","2021",77967,6
"230","Hospital beds by NUTS 2 region– historical data (1993-2016)","hlth_rs_bdsrg","dataset","20.12.2022","10.01.2024","1993","2021",89129,6
"231","Long-term care beds in nursing and residential care facilities by NUTS 2 region - historical data (1980-2021)","hlth_rs_bdsns","dataset","12.07.2022","10.01.2024","1980","2021",8907,6
"232","Hospital discharges by diagnosis and NUTS 2 region, in-patients, total number - total","hlth_co_disch1t","dataset","21.11.2023","10.01.2024","2000","2021",11490302,6
"233","Hospital discharges by diagnosis and NUTS 2 region, in-patients, total number - males","hlth_co_disch1m","dataset","21.11.2023","10.01.2024","2000","2021",10313010,6
"234","Hospital discharges by diagnosis, NUTS 2 region, in-patients and total number - females","hlth_co_disch1f","dataset","21.11.2023","10.01.2024","2000","2021",11233053,6
"235","Hospital discharges by diagnosis and NUTS 2 region, in-patients, per 100 000 inhabitants - total","hlth_co_disch2t","dataset","21.11.2023","10.01.2024","2000","2021",10736776,6
"236","Hospital discharges by diagnosis and NUTS 2 region, in-patients, per 100 000 inhabitants - males","hlth_co_disch2m","dataset","21.11.2023","10.01.2024","2000","2021",9638145,6
"237","Hospital discharges by diagnosis and NUTS 2 region, in-patients, per 100 000 inhabitants - females","hlth_co_disch2f","dataset","21.11.2023","10.01.2024","2000","2021",10498288,6
"238","Hospital discharges by diagnosis and NUTS 2 region, day cases, total number - total","hlth_co_disch3t","dataset","21.11.2023","10.01.2024","2000","2021",10569994,6
"239","Hospital discharges by diagnosis and NUTS 2 region, day cases, total number - males","hlth_co_disch3m","dataset","21.11.2023","10.01.2024","2000","2021",9478192,6
"240","Hospital discharges by diagnosis and NUTS 2 region, day cases, total number - females","hlth_co_disch3f","dataset","21.11.2023","10.01.2024","2000","2021",10323745,6
"241","Hospital discharges by diagnosis and NUTS 2 region, day cases, per 100 000 inhabitants - total","hlth_co_disch4t","dataset","21.11.2023","10.01.2024","2000","2021",9876996,6
"242","Hospital discharges by diagnosis and NUTS 2 region, day cases, per 100 000 inhabitants - males","hlth_co_disch4m","dataset","21.11.2023","10.01.2024","2000","2021",8857013,6
"243","Hospital discharges by diagnosis and NUTS 2 region, day cases, per 100 000 inhabitants - females","hlth_co_disch4f","dataset","21.11.2023","10.01.2024","2000","2021",9664091,6
"244","In-patient average length of stay (days) by NUTS 2 region - total","hlth_co_inpstt","dataset","21.11.2023","10.01.2024","1999","2021",9503589,6
"245","In-patient average length of stay (days) by NUTS 2 region - males","hlth_co_inpstm","dataset","21.11.2023","10.01.2024","1999","2021",8473961,6
"246","In-patient average length of stay (days) by NUTS 2 region - females","hlth_co_inpstf","dataset","21.11.2023","10.01.2024","1999","2021",8954435,6
"247","Hospital days of in-patients by NUTS 2 region - total","hlth_co_hosdayt","dataset","21.11.2023","10.01.2024","1999","2021",11483579,6
"248","Hospital days of in-patients by NUTS 2 region - males","hlth_co_hosdaym","dataset","21.11.2023","10.01.2024","1999","2021",10299265,6
"249","Hospital days of in-patients by NUTS 2 region - females","hlth_co_hosdayf","dataset","21.11.2023","10.01.2024","1999","2021",11216989,6
"250","Self-reported unmet needs for medical examination by main reason declared and NUTS 2 region","hlth_silc_08_r","dataset","04.10.2024","02.07.2024","2008","2023",23480,5
"251","Causes of death - standardised death rate by NUTS 2 region of residence","hlth_cd_asdr2","dataset","25.04.2024","25.03.2024","2011","2021",3830826,5
"252","Causes of death - crude death rate by NUTS 2 region of residence","hlth_cd_acdr2","dataset","25.04.2024","25.03.2024","2011","2021",6549928,5
"253","Causes of death - deaths by NUTS 2 region of residence and occurrence, 3 year average","hlth_cd_yro","dataset","26.04.2024","25.03.2024","2013","2021",98209349,5
"254","Causes of death - standardised death rate by NUTS 2 region of residence, 3 year average","hlth_cd_ysdr2","dataset","26.04.2024","25.03.2024","2013","2021",2962242,5
"255","Causes of death - crude death rate by NUTS 2 region of residence, 3 year average","hlth_cd_ycdr2","dataset","26.04.2024","25.03.2024","2013","2021",29763194,5
"256","Causes of death - years and potential years of life lost by NUTS 2 region of residence, 3 year average","hlth_cd_ypyll","dataset","26.04.2024","25.03.2024","2013","2021",12219,5
"257","Causes of death - infant mortality by NUTS 2 region of residence, 3 year average","hlth_cd_yinfr","dataset","26.04.2024","25.03.2024","2013","2021",4537933,5
"258","Causes of death - infant mortality by NUTS 2 region of occurrence, 3 year average","hlth_cd_yinfo","dataset","26.04.2024","25.03.2024","2013","2021",7895010,5
"259","Peri-neonatal mortality by age of mother and parity, by NUTS 2 region of residence and occurrence, 3 year average","hlth_cd_yperro","dataset","26.04.2024","25.03.2024","2013","2021",992547,5
"260","Fetal, peri- and neonatal mortality rates by NUTS 2 region of occurrence, 3 year average","hlth_cd_yperrto","dataset","26.04.2024","25.03.2024","2013","2021",33765,5
"261","Causes of death by NUTS 2 region - crude death rate","hlth_cd_acdr","dataset","17.04.2020","10.01.2024","1994","2010",5846589,5
"262","Causes of death by NUTS 2 region - standardised death rate, 3 year average","hlth_cd_ysdr1","dataset","19.03.2019","10.01.2024","1996","2010",2548972,5
"263","Causes of death by NUTS 2 region - crude death rate, 3 year average - females","hlth_cd_ycdrf","dataset","19.03.2019","10.01.2024","1996","2010",6568201,5
"264","Causes of death by NUTS 2 region - crude death rate, 3 year average - males","hlth_cd_ycdrm","dataset","19.03.2019","10.01.2024","1996","2010",6436256,5
"265","Causes of death by NUTS 2 region - crude death rate, 3 year average - total","hlth_cd_ycdrt","dataset","19.03.2019","10.01.2024","1998","2010",6558608,5
"266","Causes of death by NUTS 2 region - absolute number, 3 year average - females","hlth_cd_ynrf","dataset","19.03.2019","10.01.2024","1998","2010",6569926,5
"267","Causes of death by NUTS 2 region - absolute number, 3 year average - males","hlth_cd_ynrm","dataset","19.03.2019","10.01.2024","1998","2010",6439686,5
"268","Causes of death by NUTS 2 region - absolute number, 3 year average - total","hlth_cd_ynrt","dataset","19.03.2019","10.01.2024","1998","2010",6562842,5
"269","Pupils enrolled in early childhood education by sex and NUTS 2 region","educ_uoe_enrp03","dataset","26.07.2024","23.05.2024","2013","2022",34740,6
"270","Pupils enrolled in primary education by sex and NUTS 2 region","educ_uoe_enrp06","dataset","26.07.2024","23.05.2024","2013","2022",13395,6
"271","Pupils enrolled in lower-secondary education by programme orientation, sex and NUTS 2 region","educ_uoe_enrs03","dataset","26.07.2024","23.05.2024","2013","2022",39936,6
"272","Pupils enrolled in upper secondary education by programme orientation, sex and NUTS 2 region","educ_uoe_enrs06","dataset","26.07.2024","23.05.2024","2013","2022",40176,6
"273","Pupils enrolled in post-secondary non-tertiary education by programme orientation, sex and NUTS 2 region","educ_uoe_enrs09","dataset","26.07.2024","23.05.2024","2013","2022",39948,6
"274","Ratio of the proportion of tertiary students over the proportion of the population by NUTS 1 and NUTS 2 region","educ_uoe_enrt05","dataset","26.07.2024","23.05.2024","2013","2022",3864,6
"275","Students enrolled in tertiary education by education level, programme orientation, sex and NUTS 2 region","educ_uoe_enrt06","dataset","26.07.2024","23.05.2024","2013","2022",93176,6
"276","Pupils and students enrolled by education level, sex and NUTS 2 region","educ_uoe_enra11","dataset","26.07.2024","23.05.2024","2013","2022",133536,6
"277","Pupils and students enrolled by sex, age and NUTS 2 region","educ_uoe_enra12","dataset","26.07.2024","23.05.2024","2013","2022",450351,6
"278","Distribution of pupils and students enrolled in general and vocational programmes by education level and NUTS 2 region","educ_uoe_enra13","dataset","26.07.2024","23.05.2024","2013","2022",32767,6
"279","Pupils from age 4 to the starting age of compulsory education at primary level by NUTS 2 region - % of the population of the corresponding age","educ_uoe_enra17","dataset","26.07.2024","23.05.2024","2013","2022",3952,6
"280","Pupils from age 3 to the starting age of compulsory education at primary level by NUTS 2 region - % of the population of the corresponding age","educ_uoe_enra22","dataset","26.07.2024","23.05.2024","2013","2022",3595,6
"281","Participation rate in education and training (last 4 weeks) by NUTS 2 region","trng_lfse_04","dataset","12.09.2024","24.04.2024","2000","2023",31961,7
"282","Participation rate in education and training (last 12 months) by sex, age and NUTS 2 region","trng_lfs_22","dataset","13.09.2024","13.09.2024","2022","2022",21060,7
"283","Population by educational attainment level, sex, age, country of birth and NUTS 2 region (%)","edat_lfs_9917","dataset","12.09.2024","24.04.2024","2004","2023",1156358,7
"284","Population by educational attainment level, sex, age, citizenship and NUTS 2 region (%)","edat_lfs_9918","dataset","12.09.2024","24.04.2024","2004","2023",1200530,7
"285","Population by educational attainment level, sex and NUTS 2 region (%)","edat_lfse_04","dataset","12.09.2024","24.04.2024","2000","2023",612157,6
"286","Young people neither in employment nor in education and training by sex and NUTS 2 region (NEET rates)","edat_lfse_22","dataset","12.09.2024","24.04.2024","2000","2023",128547,6
"287","Young people neither in employment nor in education and training by sex, age, country of birth and NUTS 2 region (NEET rates)","edat_lfse_37","dataset","12.09.2024","24.04.2024","2004","2023",520910,6
"288","Young people neither in employment nor in education and training by sex, age, citizenship and NUTS 2 region (NEET rates)","edat_lfse_38","dataset","12.09.2024","24.04.2024","2004","2023",526863,6
"289","Early leavers from education and training by sex and NUTS 2 region","edat_lfse_16","dataset","12.09.2024","24.04.2024","2000","2023",32169,6
"290","Employment rates of young people not in education and training by sex, educational attainment level, years since completion of highest level of education and NUTS 2 region","edat_lfse_33","dataset","12.09.2024","24.04.2024","2000","2023",3852642,6
"291","Students by level of education, orientation, sex and NUTS 2 region","educ_renrlrg1","dataset","15.03.2019","10.01.2024","1998","2012",190546,5
"292","Students by age, sex and NUTS 2 region","educ_renrlrg3","dataset","15.03.2019","10.01.2024","1998","2012",404250,5
"293","Education indicators by NUTS 2 region","educ_regind","dataset","15.03.2019","10.01.2024","1998","2012",43983,5
"294","Population by sex, age, citizenship, labour status and NUTS 2 region","lfst_r_lfsd2pwn","dataset","12.09.2024","24.04.2024","1999","2023",4890896,7
"295","Population by sex, age, country of birth, labour status and NUTS 2 region","lfst_r_lfsd2pwc","dataset","12.09.2024","24.04.2024","1999","2023",4732810,7
"296","Population by sex, age, educational attainment level and NUTS 2 region (1 000)","lfst_r_lfsd2pop","dataset","12.09.2024","24.04.2024","1999","2023",1874689,7
"297","Economically active population by sex, age and NUTS 2 region (1 000)","lfst_r_lfp2act","dataset","12.09.2024","24.04.2024","1999","2023",404064,7
"298","Activity rates by sex, age, educational attainment level, citizenship and NUTS 2 region","lfst_r_lfp2actrtn","dataset","12.09.2024","24.04.2024","1999","2023",2778836,7
"299","Activity rates by sex, age, educational attainment level, country of birth and NUTS 2 region","lfst_r_lfp2actrc","dataset","12.09.2024","24.04.2024","1999","2023",2720405,7
"300","Economic activity rates by sex, age and NUTS 2 region (%)","lfst_r_lfp2actrt","dataset","12.09.2024","24.04.2024","1999","2023",370491,7
"301","Economically active population by sex, age, educational attainment level and NUTS 2 region (1 000)","lfst_r_lfp2acedu","dataset","12.09.2024","24.04.2024","1999","2023",444363,7
"302","Employment by sex, age and NUTS 2 region (1 000)","lfst_r_lfe2emp","dataset","12.09.2024","24.04.2024","1999","2023",404060,7
"303","Employment by sex, age, economic activity and NUTS 2 region (NACE Rev. 2) (1 000)","lfst_r_lfe2en2","dataset","12.09.2024","24.04.2024","2008","2023",1466374,7
"304","Employment by sex, age, economic activity and NUTS 2 region (1999-2008, NACE Rev. 1.1) (1 000)","lfst_r_lfe2en1","dataset","15.02.2023","10.01.2024","1999","2008",667065,7
"305","Employment by sex, age, professional status and NUTS 2 region (1 000)","lfst_r_lfe2estat","dataset","12.09.2024","24.04.2024","1999","2023",1419802,7
"306","Employment by sex, age, full-time/part-time, professional status and NUTS 2 region (1 000)","lfst_r_lfe2eftpt","dataset","12.09.2024","24.04.2024","1999","2023",3947800,7
"307","Employment by sex, age, educational attainment level and NUTS 2 region (1 000)","lfst_r_lfe2eedu","dataset","12.09.2024","24.04.2024","1999","2023",871028,7
"308","Employment and commuting by sex, age and NUTS 2 region","lfst_r_lfe2ecomm","dataset","12.09.2024","24.04.2024","1999","2023",298492,7
"309","Employment by sex, age, job tenure and NUTS 2 region","lfst_r_egad","dataset","12.09.2024","24.04.2024","1999","2023",2576280,7
"310","Employment rates by sex, age, educational attainment level, citizenship and NUTS 2 region","lfst_r_lfe2emprtn","dataset","12.09.2024","24.04.2024","1999","2023",2778836,7
"311","Employment rates by sex, age, educational attainment level, country of birth and NUTS 2 region","lfst_r_lfe2emprc","dataset","12.09.2024","24.04.2024","1999","2023",2720405,7
"312","Employment rates by sex, age and NUTS 2 region (%)","lfst_r_lfe2emprt","dataset","12.09.2024","24.04.2024","1999","2023",404172,7
"313","Average number of usual weekly hours of work in main job by sex, age and NUTS 2 region (hours)","lfst_r_lfe2ehour","dataset","12.09.2024","24.04.2024","1999","2023",234627,7
"314","Average number of actual weekly hours of work in main job by sex, age and NUTS 2 region","lfst_r_lfe2ehrwa","dataset","12.09.2024","24.04.2024","1999","2023",235610,7
"315","Unemployment by sex, age, educational attainment level and NUTS 2 region (1 000)","lfst_r_lfu3pers","dataset","12.09.2024","24.04.2024","1999","2023",1386815,7
"316","Unemployment rates by sex, age, educational attainment level and NUTS 2 region (%)","lfst_r_lfu3rt","dataset","12.09.2024","24.04.2024","1999","2023",1547404,7
"317","Long-term unemployment (12 months and more) by sex, age, educational attainment level and NUTS 2 region (%)","lfst_r_lfu2ltu","dataset","12.09.2024","24.04.2024","1999","2023",2889249,7
"318","Unemployment by sex, age, country of birth and NUTS 2 region","lfst_r_lfu2gac","dataset","12.09.2024","24.04.2024","1999","2023",812409,7
"319","Unemployment rates by sex, age, country of birth and NUTS 2 region","lfst_r_lfur2gac","dataset","12.09.2024","24.04.2024","1999","2023",812409,7
"320","Unemployment by sex, age, citizenship and NUTS 2 region","lfst_r_lfu2gan","dataset","12.09.2024","24.04.2024","1999","2023",852024,7
"321","Unemployment rates by sex, age, citizenship and NUTS 2 region","lfst_r_lfur2gan","dataset","12.09.2024","24.04.2024","1999","2023",852024,7
"322","Labour market slack by sex, age and NUTS 2 region","lfst_r_sla_ga","dataset","12.09.2024","24.04.2024","2008","2023",180024,7
"323","Number of households by degree of urbanisation and NUTS 2 region (1 000)","lfst_r_lfsd2hh","dataset","12.09.2024","24.04.2024","2006","2023",29049,7
"324","Prevalence of disability by sex, economic activity (NACE Rev. 1) and NUTS 2 region","hlth_db_emrena","dataset","26.03.2009","21.12.2023","2002","2002",11988,7
"325","Job vacancy statistics by occupation, NUTS 2 region and NACE Rev. 1.1 activity - annual data (2000-2008)","jvs_a_nace1","dataset","17.01.2017","21.12.2023","2000","2008",183946,5
"326","Job vacancy statistics by occupation, NUTS 2 region and NACE Rev. 2 activity - annual data (2008-2015)","jvs_a_nace2","dataset","08.06.2016","21.12.2023","2008","2015",296421,5
"327","Job vacancy statistics by NACE Rev. 2 activity, occupation and NUTS 2 region - quarterly data","jvs_q_isco_r2","dataset","08.10.2024","21.08.2024","2001-Q1","2024-Q2",1664783,4
"328","Income quintile share ratio S80/S20 by NUTS 2 region","ilc_di11_r","dataset","04.10.2024","02.07.2024","2003","2023",3305,6
"329","At-risk-of-poverty rate before social transfers (pensions excluded from social transfers) by NUTS 2 region","ilc_li10_r","dataset","21.10.2024","21.10.2024","2003","2023",3341,6
"330","Cultural employment by NUTS 2 region","cult_emp_reg","dataset","18.10.2023","10.01.2024","2014","2022",7520,4
"331","SBS data by NUTS 2 region and NACE Rev. 2 (2008-2020)","sbs_r_nuts06_r2","dataset","01.03.2024","10.01.2024","2008","2020",2139869,6
"332","Multiannual statistics for distributive trades (NACE Rev. 2, G) by NUTS 2 region (2009-2014)","sbs_r_3k_my_r2","dataset","24.05.2019","10.01.2024","2009","2014",26758,6
"333","SBS data by NUTS 2 region (NUTS 2006) and NACE Rev. 1.1 (1995-2007)","sbs_r_nuts03","dataset","27.10.2022","23.09.2023","1995","2007",1793482,6
"334","Multi yearly statistics by NUTS 2 region (NUTS 2006) (1999-2004)","sbs_r_3f_my","dataset","10.09.2009","08.02.2021","1999","2004",8079,6
"335","Enterprises by NUTS 2 region and NACE Rev.2 activity","sbs_r_nuts2021","dataset","24.10.2024","16.10.2024","2021","2022",352648,5
"336","Number of local units, persons employed and wages and salaries by NUTS 2 region (1997-2007)","sbs_cre_rreg","dataset","06.10.2010","07.06.2024","1997","2007",4070,8
"337","Nights spent at tourist accommodation establishments by NUTS 2 region","tour_occ_nin2","dataset","29.10.2024","10.09.2024","1990","2023",371993,6
"338","Nights spent at tourist accommodation establishments  by month and NUTS 2 region (from 2020 onwards)","tour_occ_nin2m","dataset","29.10.2024","02.09.2024","2020","2023",288153,6
"339","Nights spent at tourist accommodation establishments by degree of urbanisation and coastal/non-coastal area and NUTS 2 region","tour_occ_nin2dc","dataset","29.10.2024","06.09.2024","2012","2023",201727,6
"340","Arrivals at tourist accommodation establishments by NUTS 2 region","tour_occ_arn2","dataset","29.10.2024","06.09.2024","1990","2023",267395,6
"341","Net occupancy rate of bed-places and bedrooms in hotels and similar accommodation (NACE Rev. 2 activity I55.1) by  NUTS 2 region","tour_occ_anor2","dataset","29.10.2024","02.10.2024","2012","2023",9895,6
"342","Establishments, bedrooms and bed-places in tourist accommodation, by NUTS 2 region","tour_cap_nuts2","dataset","29.10.2024","27.09.2024","1990","2023",250813,5
"343","Establishments, bedrooms and bed-places in tourist accommodation, by degree of urbanisation and coastal/non-coastal area and NUTS 2 region","tour_cap_nuts2dc","dataset","29.10.2024","27.09.2024","2012","2023",484038,5
"344","Short-stay accommodation offered via collaborative economy platforms by months, residence of the guest and NUTS 1 and NUTS 2 region - experimental statistics","tour_ce_omn12","dataset","03.10.2024","03.10.2024","2018","2024",280569,5
"345","Guest nights spent at short-stay accommodation offered via collaborative economy platforms by NUTS 1 and NUTS 2 region, by world region of residence of the guest - experimental statistics","tour_ce_oaw","dataset","28.07.2024","28.07.2024","2018","2023",20710,5
"346","Farm indicators by legal status of the holding, utilised agricultural area, type and economic size of the farm and NUTS 2 region","ef_m_farmleg","dataset","26.03.2024","10.01.2024","2010","2020",13833821,5
"347","Farm indicators by age and sex of the manager, economic size of the farm, utilised agricultural area and NUTS 2 region","ef_m_farmang","dataset","26.03.2024","10.01.2024","2010","2020",9550078,5
"348","Main farm indicators by organic farming, utilised agricultural area, economic size, farm type of agricultural holding and NUTS 2","ef_m_org","dataset","26.03.2024","26.03.2024","2010","2020",14480807,5
"349","Main farm indicators by rural development support measures, utilized agricultural area, type and economic size of the farm and NUTS 2 region","ef_m_rd","dataset","31.10.2024","31.10.2024","2010","2020",6249704,5
"350","Share of holdings by economic size classes and NUTS 2 region","ef_m_so_sh","dataset","27.05.2024","14.10.2024","2020","2020",1734,5
"351","Share of holdings by age of farm managers and NUTS 2 region","ef_m_age_sh","dataset","27.05.2024","27.05.2024","2020","2020",2304,5
"352","Share of holdings by sex of farm managers and NUTS 2 region","ef_m_sex_sh","dataset","27.05.2024","27.05.2024","2020","2020",1732,5
"353","Main crops by NUTS 2 region","ef_lac_main","dataset","02.03.2021","10.01.2024","2013","2016",6557538,6
"354","Cereals by NUTS 2 region","ef_lac_cereals","dataset","02.03.2021","10.01.2024","2013","2016",5520634,6
"355","Dried crop pulses by NUTS 2 region","ef_lac_dpuls","dataset","02.03.2021","10.01.2024","2013","2016",1565676,6
"356","Root crops by NUTS 2 region","ef_lac_rootcrop","dataset","02.03.2021","10.01.2024","2013","2016",2444610,6
"357","Industrial crops by NUTS 2 region","ef_lac_indus","dataset","21.02.2020","10.01.2024","2013","2016",6316498,6
"358","Vegetables by NUTS 2 region","ef_lac_vege","dataset","02.03.2021","10.01.2024","2013","2016",2925694,6
"359","Flowers and ornamental plants by NUTS 2 region","ef_lac_flower","dataset","02.03.2021","10.01.2024","2013","2016",1273320,6
"360","Plants harvested green and fallow land by NUTS 2 region","ef_lac_greenfal","dataset","21.02.2020","10.01.2024","2013","2016",3868744,6
"361","Permanent grassland by area of the crop, utilised agricultural area, economic size and NUTS 2 region","ef_lus_pegrass","dataset","16.10.2023","10.01.2024","2010","2020",5327552,6
"362","Under glass by NUTS 2 region","ef_lus_unglass","dataset","21.02.2020","10.01.2024","2013","2016",1401836,6
"363","Special areas and other farmland by NUTS 2 region","ef_lus_sparea","dataset","21.02.2020","10.01.2024","2013","2016",1124174,6
"364","Main farm land use by NUTS 2 region","ef_lus_main","dataset","10.01.2023","10.01.2024","2005","2020",36384888,5
"365","Farms and hectares by type of crops, utilised agricultural area, economic size and NUTS 2 region","ef_lus_allcrops","dataset","27.02.2024","27.02.2024","2005","2020",27672874,5
"366","Organic crops by utilised agricultural area, economic size of the farm and NUTS 2 region","ef_lus_org","dataset","07.05.2024","26.03.2024","2010","2020",4437846,5
"367","Main livestock indicators by NUTS 2 region","ef_lsk_main","dataset","05.12.2023","10.01.2024","2005","2020",139355508,5
"368","Bovine types by utilised agricultural area and share of fodder area, size classes of livestock and NUTS 2 region","ef_lsk_bovine","dataset","06.11.2023","10.01.2024","2010","2020",21961443,5
"369","Sheep types by utilised agricultural area and share of fodder area, size classes of livestock and NUTS 2 region","ef_lsk_sheep","dataset","23.10.2023","10.01.2024","2010","2020",5775327,5
"370","Poultry types by utilised agricultural area, size classes of livestock and NUTS 2 region","ef_lsk_poultry","dataset","20.11.2023","10.01.2024","2010","2020",2966718,5
"371","Pig types by utilised agricultural area, size classes of livestock and NUTS 2 region","ef_lsk_pigs","dataset","16.10.2023","10.01.2024","2010","2020",1549068,5
"372","Goat types by utilised agricultural area and share of fodder area, size classes of livestock and NUTS 2 region","ef_lsk_goats","dataset","16.10.2023","10.01.2024","2010","2020",5847489,5
"373","Organic animal farming by utilised agricultural area, livestock unit, economic size of the farm and NUTS 2 region","ef_lsk_org","dataset","26.03.2024","26.03.2024","2010","2020",12124245,5
"374","Main agricultural labour force by age and sex of the farm manager, farm type of the agricultural holding and NUTS 2 region","ef_lf_main","dataset","26.03.2024","10.01.2024","2010","2020",14875354,5
"375","Agricultural labour force by size of the farm and NUTS 2 region","ef_lf_size","dataset","27.05.2024","27.05.2024","2010","2020",3794863,5
"376","Agricultural labour force by legal entity, work status, sex of worker, economic size of the agricultural holding and NUTS 2 region","ef_lf_leg","dataset","29.05.2024","29.05.2024","2010","2020",3599080,5
