"","title","code","type","last.update.of.data","last.table.structure.change","data.start","data.end","values","hierarchy"
"51","Structure of labour cost by NACE Rev. 1.1 activity and NUTS 1 region - % of total cost, LCS survey 2000","lc_r00struc","dataset","27.03.2009","14.10.2024","2000","2000",102746,6
"52","Number of employees and hours worked, by working time, NACE Rev. 1.1 activity and NUTS 1 region - LCS survey 2000","lc_r00num1","dataset","27.03.2009","14.10.2024","2000","2000",47375,6
"53","Average hours worked per employee, by working time, NACE Rev. 1.1 activity and NUTS 1 region - LCS survey 2000","lc_r00num2","dataset","27.03.2009","14.10.2024","2000","2000",18965,6
"54","Number of statistical units selected for the survey, by NACE Rev. 1.1 activity and NUTS 1 region - LCS survey 2000","lc_r00stu","dataset","27.03.2009","14.10.2024","2000","2000",6014,6
"55","Short-stay accommodation offered via collaborative economy platforms by months, residence of the guest and NUTS 1 and NUTS 2 region - experimental statistics","tour_ce_omn12","dataset","03.10.2024","03.10.2024","2018","2024",280569,5
"56","Guest nights spent at short-stay accommodation offered via collaborative economy platforms by NUTS 1 and NUTS 2 region, by world region of residence of the guest - experimental statistics","tour_ce_oaw","dataset","28.07.2024","28.07.2024","2018","2023",20710,5
"57","Employment in technology and knowledge-intensive sectors by NUTS 1 region and type of occupation (from 2008 onwards, NACE Rev. 2)","htec_emp_risco2","dataset","12.09.2024","24.04.2024","2008","2023",616276,6
"58","Employment in technology and knowledge-intensive sectors by NUTS 1 region and type of occupation (1994-2008, NACE Rev. 1.1)","htec_emp_risco","dataset","15.02.2023","10.01.2024","1999","2008",294702,6
"59","Employment in technology and knowledge-intensive sectors by NUTS 1 region and level of education (from 2008 onwards, NACE Rev. 2)","htec_emp_risced2","dataset","12.09.2024","24.04.2024","2008","2023",662712,6
"60","Employment in technology and knowledge-intensive sectors by NUTS 1 region and level of education (1994-2008, NACE Rev. 1.1)","htec_emp_risced","dataset","15.02.2023","10.01.2024","1999","2008",322090,6
"61","Employed HRST by category, NACE Rev. 2 activity and NUTS 1 region","hrst_st_rsec2","dataset","12.09.2024","24.04.2024","2008","2023",787508,6
