"country","time","employmentTotalY15-64","unemploymentTotalY15-64","employmentInflows","employmentOutflows","unemploymentLT","unemploymentYouth1524","unemploymentYouth1529","employmentWomen","NEET 15-24","NEET 15-24","jobVacancy","GDPcapita","inflation","minWage1","minWage2","minWageMedian1","minWageMedian2","imports","exports","GDP"
"Slovakia",2013,59.9,14.1,23,3.1,82.9,20.4,38,59.9,14,18.3,0.8,76,100.45,na,36.9,na,46.4,65441.2,69607.6,74217.3
"Finland",2013,68.9,8.3,24.6,2.8,31,41.5,53,68.9,8.5,10.4,1.3,113,98.96,na,na,na,na,79841,77678,204321
"Sweden",2013,74.4,8.2,30.4,2.7,20.8,41.7,53.7,74.4,7.5,7.9,1.5,127,99.1,na,na,na,na,169179.6,187905,441850.7
"United Kingdom",2013,70.5,na,38.7,1.8,na,46.3,57.5,70.5,na,na,1.9,109,98.5,na,39.3,na,48.3,655624.9,626180.4,2096338
"Belgium",2014,61.9,8.7,22.6,2.3,46.5,23.2,41.5,61.9,11.2,13.3,2.2,119,99.38,na,na,na,na,318300.9,321600.7,403003.3
"Bulgaria",2014,61,12.4,20.9,4.8,59.7,20.7,38,61,20,24,0.7,47,101.08,na,40.3,na,58.7,28262.2,27795.2,43026
"Czechia",2014,69,6.1,34.1,1.8,44.7,27.1,45.7,69,8.1,12.1,1.3,86,99.8,na,32.8,na,na,119345.5,129341.3,157821.3
"Denmark",2014,71.1,6.9,31,3.8,27.4,50,56.9,71.1,6.4,8,na,127,99.8,na,na,na,na,126635.3,145138.2,265757
"Germany (until 1990 former territory of the FRG)",2014,73.8,4.7,17.5,1.7,47.2,46.1,57.8,73.8,7.2,9.9,2.3,125,99.3,na,na,na,na,1141722,1335472,2927430
"Estonia",2014,69.6,7.3,40.9,2.8,46.2,33.3,50.7,69.6,11.5,13.2,1.4,77,99.93,na,36.2,na,na,15713,16412.6,20048.2
"Ireland",2014,63.1,11.9,20.6,3.4,57.9,36.8,48.1,63.1,15.2,17.8,0.7,136,100,na,42.7,na,42.5,179164.3,214349.7,194933.8
"Greece",2014,49.4,26.6,15.4,6.1,66.6,13.3,27.1,49.4,16.4,26.3,0.9,71,101.11,na,na,na,na,60332.4,57576.2,177236
"Spain",2014,56,24.5,24.5,7.9,53.6,16.7,33.1,56,17.1,20.7,0.4,89,100.63,na,34.2,na,40.1,313601,345593,1032158
"France",2014,63.7,10.3,25.1,4,31.1,27.6,43.1,63.7,11.1,13.4,na,107,99.91,na,47.4,na,59.7,662388,637764,2149765
"Croatia",2014,54.6,17.3,na,na,60.8,18.3,34.8,54.6,19.3,21.8,0.9,59,100.26,na,38.2,na,na,18954.2,18788.5,43918.6
"Italy",2014,55.7,12.9,23.5,3.6,64.1,15.6,28.3,55.7,23.2,26.3,na,97,99.9,na,na,na,na,426596.5,473718.7,1627405.6
"Cyprus",2014,62.1,16.1,29.6,6.7,48.5,25.8,44.9,62.1,17,19.5,0.7,80,101.57,na,na,na,na,11345.1,11508.6,17430.2
"Latvia",2014,66.3,10.9,33.7,5.5,43.1,32.5,50.3,66.3,12,15.2,1.4,63,99.79,na,44.4,na,na,15138.5,14443.6,23625.8
"Lithuania",2014,65.7,10.7,22.7,3.8,45.1,27.6,44.2,65.7,9.9,12.9,1,75,100.68,na,45.7,na,54.9,25772,26437.5,36581.3
"Luxembourg",2014,66.6,5.9,29,2.3,28.4,20.4,43.4,66.6,6.3,6.5,0.9,279,99.94,na,47.6,na,59.8,78021.7,94665.5,51791.3
"Hungary",2014,61.8,7.5,41.6,3.7,48.3,23.5,40.8,61.8,13.2,14.7,1.4,68,99.94,na,45.5,na,na,86361.8,92580.7,106297.8
"Malta",2014,63.9,5.7,30.1,1,53.2,46.7,60.5,63.9,10.3,11.6,na,91,98.84,na,44.6,na,53.1,12061.5,13110.2,8751.1
"Netherlands",2014,73.1,8.4,31.1,2.2,36.3,58.8,66.3,73.1,6.9,8.2,1.4,131,99.79,na,43.3,na,50.6,466572,541129,671560
"Austria",2014,71.1,6,33.5,4.1,32.3,52.1,61.9,71.1,8.4,9.7,1.7,130,99.2,na,na,na,na,166962.7,177855.3,333146.1
"Poland",2014,61.7,9.2,29.5,2.7,54.6,25.8,44.4,61.7,15.1,16.7,0.5,67,100.7,na,45.1,na,na,189151.1,193113.3,408967.8
"Portugal",2014,62.6,14.6,23.6,5.6,61.1,22.4,39,62.6,12.3,14.6,0.6,76,99.5,na,44.9,na,64.1,69336.3,69595.2,173053.7
"Romania",2014,61,8.6,20.3,0.3,41.1,22.5,41,61,21.4,24.8,0.9,55,100.41,na,38.4,na,na,63069.2,62434.4,150708.6
"Slovenia",2014,63.9,9.7,19.7,4.1,56,26.8,42.9,63.9,8.6,11,1.2,82,100.77,na,51.2,na,na,26117.4,28659.2,37634.3
"Slovakia",2014,61,13.1,24.1,2.4,83.2,21.8,39.4,61,13,17.5,0.9,77,100.35,na,36.4,na,46.1,66114.1,69788.1,76092.7
"Finland",2014,68.7,8.7,20.8,3.5,33.1,41.4,52.3,68.7,9.2,11.2,1.3,111,100.16,na,na,na,na,77858,75479,206897
"Sweden",2014,74.9,8.1,39.9,2.8,21.4,42.8,55,74.9,7.2,7.9,1.6,125,99.3,na,na,na,na,174073.9,189866.6,438833.9
"United Kingdom",2014,71.9,na,38.8,1.8,na,48,59.1,71.9,na,na,2.3,110,100,na,40.1,na,48.9,687561.4,651669.7,2311080.2
"Belgium",2015,61.8,8.7,23,2.4,48.1,23.4,41.3,61.8,11.4,13.6,2.4,119,100,na,na,na,na,318306.8,324215.7,416701.4
"Bulgaria",2015,62.9,10.1,21.5,3.1,60.5,20.3,39.2,62.9,19.1,22.2,0.8,47,100,na,41.2,na,na,28816.3,29228.3,45812.3
"Czechia",2015,70.2,5.1,37,1.7,48.1,28.4,46.8,70.2,7.5,11.8,2.2,87,100,na,34.4,na,na,126519,136594,169558.2
"Denmark",2015,72,6.3,36,2.2,28.7,51.3,58.3,72,7,8.5,na,126,100,na,na,na,na,132768.6,151301.4,273017.6
"Germany (until 1990 former territory of the FRG)",2015,74,4.4,16.7,1.7,46.7,45.3,57.7,74,7,9.7,2.4,123,100,na,41.8,na,48.6,1190060,1419906,3026180
"Estonia",2015,71.4,6.4,39.6,2.8,40.1,35,53.4,71.4,11.3,12.4,1.5,75,100,na,37.4,na,na,15164.4,15976,20631.4
"Ireland",2015,64.8,9.9,26.5,2.8,56.1,37.8,49.4,64.8,14.2,16.5,0.9,178,100,na,42.3,na,na,244886.1,320564.9,262800
"Greece",2015,50.8,25,15.1,4.4,66.1,13,28,50.8,14.7,23.8,0.6,69,100,na,na,na,na,58467.2,56662.3,176368.9
"Spain",2015,57.8,22.1,27.4,6.2,52.5,17.9,33.7,57.8,15.6,19.4,0.5,90,100,na,33.8,na,40,329593,362356,1077590
"France",2015,63.8,10.3,24.2,4.2,31.3,28,43.2,63.8,11.8,13.9,na,105,100,na,47.1,na,59.5,685011,672558,2198432
"Croatia",2015,56,16.2,23.1,4.9,66,19.1,35.6,56,18.1,19.9,1.1,60,100,na,41.5,na,na,20592.4,20690.4,45186.2
"Italy",2015,56.3,12,20.1,3.6,61.5,15.6,28.6,56.3,22.5,25.8,na,96,100,na,na,na,na,442016.1,491905,1655355
"Cyprus",2015,62.7,15,27.5,6.6,46.5,25.5,44.6,62.7,15.3,18.5,0.9,82,100,na,na,na,na,12069.1,12537,17884
"Latvia",2015,68.1,9.9,35.6,4.1,46.2,34.5,52.2,68.1,10.5,13.8,1.5,64,100,na,46.9,na,na,15228.7,14805.2,24572.1
"Lithuania",2015,67.2,9.1,28.8,2.2,43.2,28.3,45.5,67.2,9.2,11.8,1.1,74,100,na,46.6,na,na,26057.8,25685.5,37345.7
"Luxembourg",2015,66.1,6.7,46.6,2.8,30,29.1,48.5,66.1,6.2,7.6,1.2,278,100,na,47,na,59.1,86246.8,103864.1,54142.3
"Hungary",2015,63.9,6.6,35.8,2.7,46.6,25.7,42.6,63.9,11.2,13.1,1.6,69,100,na,45.3,na,na,90000.5,98722,112823.6
"Malta",2015,65.1,5.4,20.8,1,54,45.6,60.2,65.1,10.5,11.8,na,96,100,na,45.7,na,54.2,14480.4,15456.7,9996.7
"Netherlands",2015,74.1,7.9,40.6,2.1,39.9,60.8,68,74.1,6,7.3,1.7,130,100,na,42.7,na,50.2,518594,570353,690008
"Austria",2015,71.1,6.1,34.4,3.5,34.7,51.3,62,71.1,8.2,9,1.8,129,100,na,na,na,na,169856.4,182769.3,344269.2
"Poland",2015,62.9,7.7,27.3,2.4,50.5,26,45,62.9,13.9,15.8,0.6,68,100,na,45.4,na,na,199456.8,211321,430465.8
"Portugal",2015,63.9,13,26.7,4.6,59.1,22.8,39.5,63.9,11.3,13.2,0.6,76,100,na,44.5,na,63.6,71662,72990.7,179713.2
"Romania",2015,61.4,8.4,19.5,0.4,43.5,24.5,43.1,61.4,22.8,25.8,1.1,56,100,na,40.4,na,na,67596.1,66278.2,160149.8
"Slovenia",2015,65.2,9,26.6,4.2,53.5,29.6,45.9,65.2,8.7,10.5,1.3,82,100,na,50.8,na,na,26865.5,29974.3,38852.6
"Slovakia",2015,62.7,11.5,26.2,1.8,78.1,23.3,42.3,62.7,14,16.4,0.9,77,100,na,37.9,na,48.2,70943.3,73395.8,79888.1
"Finland",2015,68.5,9.4,20.2,4,35.8,40.5,51.7,68.5,9.7,11.8,1.3,109,100,na,na,na,na,76047,74845,211385
"Sweden",2015,75.5,7.6,49.6,2.2,22.8,43.9,56.4,75.5,6.8,7.4,1.9,127,100,na,na,na,na,182002.2,199355.3,455494.7
"United Kingdom",2015,72.7,na,34.9,1.1,na,50,60.9,72.7,na,na,2.5,110,100,na,40.8,na,49.6,759999.4,721048.7,2644716.5
"Belgium",2016,62.3,7.9,24.3,2.3,48.1,22.7,41.4,62.3,9.2,12.2,2.8,118,101.77,na,na,na,na,336479,341615.1,430085.3
"Bulgaria",2016,63.4,8.6,18.6,3.5,58.2,19.8,38.3,63.4,18,22.4,0.9,49,98.68,na,43.3,na,na,28758.3,31151.6,48773.1
"Czechia",2016,72,4,34.7,1.7,42.9,28.6,47.7,72,7,11.1,2.9,88,100.7,na,35.5,na,na,126831.6,140366.4,177438.5
"Denmark",2016,72.7,6,44.6,2,23,52.3,58.8,72.7,6.7,8.4,na,127,100,na,na,na,na,132333.5,151254.1,283109.7
"Germany (until 1990 former territory of the FRG)",2016,74.7,3.9,20.8,1.4,43.9,45.7,58.2,74.7,7.6,10.1,2.4,123,100.4,na,40.8,na,47.4,1213031,1444277,3134740
"Estonia",2016,71.8,6.8,43.5,3.1,32.9,36.4,53.3,71.8,9.2,13.3,1.7,76,100.8,na,38.6,na,na,15963.2,16747.5,21747.9
"Ireland",2016,66.4,8.4,24.6,2.4,53.4,42,52.9,66.4,12.6,14.5,1,174,99.8,na,44.4,na,na,285882,328235.4,270058.1
"Greece",2016,52,23.9,15.5,4.4,65,13,28.6,52,13.6,21.9,0.7,67,100.02,na,na,na,na,57115,54594.8,174494.2
"Spain",2016,59.5,19.6,23.5,6.5,49.3,18.4,34.6,59.5,14.6,18.1,0.5,91,99.66,na,34.1,na,40.6,332955,377370,1113840
"France",2016,64.2,10.1,30.5,3.7,32.8,28,43.5,64.2,11.7,13.6,na,104,100.31,na,48.2,na,60,689287,675769,2234129
"Croatia",2016,56.9,13.1,23.9,6.5,53.2,25.6,39.8,56.9,16.9,19.5,1.6,61,99.37,na,40.8,na,na,21672.1,22204.6,47246.3
"Italy",2016,57.2,11.7,24.5,4,60.6,16.6,29.7,57.2,20.9,24.4,0.9,98,99.9,na,na,na,na,441578,497338.5,1695786.8
"Cyprus",2016,63.7,13,29.1,4.9,45.5,26.4,45.7,63.7,16,18,1,87,98.78,na,na,na,na,13031.7,13352.6,18929.3
"Latvia",2016,68.7,9.7,41,4.4,42.1,32.8,51.9,68.7,11.2,13.2,1.6,65,100.1,na,46,na,na,15034.4,15115.6,25371.3
"Lithuania",2016,69.4,7.9,27.5,2.9,38.8,30.2,47.7,69.4,9.4,10.7,1.3,75,100.68,na,50.3,na,na,26004.3,26284.6,38889.9
"Luxembourg",2016,65.6,6.3,27.9,2.1,37,24.9,46.7,65.6,5.4,6.8,1.4,275,100.04,na,46.4,na,58.3,88437.1,107412.9,56208.1
"Hungary",2016,66.5,5,37.2,2.9,47.7,28.1,45.2,66.5,10.5,12,1.9,68,100.45,na,45.1,na,na,90678.5,100450.4,116279.4
"Malta",2016,67.2,4.7,32.9,0.6,53.5,46.2,62.2,67.2,8.8,9.4,na,96,100.9,na,45.4,na,54.3,15306.8,16634,10541.1
"Netherlands",2016,74.8,7,22.9,1.9,38.2,60.8,68.3,74.8,5.9,6.9,2,127,100.11,na,43,na,50.9,491044,563377,708337
"Austria",2016,71.5,6.5,36.4,3.3,38.2,51,62.2,71.5,8.4,9.3,1.9,128,100.97,na,na,na,na,173710.5,187409.4,357608
"Poland",2016,64.5,6.3,26,2.3,45.3,28.4,47.7,64.5,13.3,14.8,0.8,68,99.8,na,46.2,na,na,205670.6,221766.8,427091.8
"Portugal",2016,65.2,11.5,28.5,4.2,56.8,23.9,40.4,65.2,10.6,12.8,0.7,77,100.64,na,46.3,na,66.2,72849.3,74989.1,186489.8
"Romania",2016,61.6,7.2,20.3,0.2,49.6,22.3,41.5,61.6,21.3,24.3,1.3,59,98.93,na,42.4,na,na,72821.4,71046.1,170063.4
"Slovenia",2016,65.8,8,23.8,4,55,28.6,45.6,65.8,7.4,9.3,1.7,83,99.85,na,49.8,na,na,27929.9,31383.2,40443.2
"Slovakia",2016,64.9,9.6,29.7,1.7,71.7,25.2,44.1,64.9,12.4,15.1,1,72,99.52,na,38.6,na,48.8,73565.2,75955.1,81014.3
"Finland",2016,69.1,8.9,20.9,3.7,38.4,41.7,52.8,69.1,9.1,11.2,1.6,109,100.39,na,na,na,na,78498,75719,217518
"Sweden",2016,76.2,7.1,36.9,1.6,21.3,44.5,57.3,76.2,6.6,7.1,2.1,123,101.14,na,na,na,na,184777.5,199056.1,466266.5
"United Kingdom",2016,73.5,na,33.7,1.4,na,50.7,62.1,73.5,na,na,2.5,107,100.7,na,44,na,53.7,731391.9,687323.7,2434119.2
"Belgium",2017,63.1,7.2,19.8,1.9,45.6,22.7,41.6,63.1,8.7,11.8,3.4,117,104.03,na,na,na,na,365579.4,370203.4,445050.1
"Bulgaria",2017,66.9,7.2,27.8,4.5,54.7,22.9,42,66.9,15.2,18.9,0.8,50,99.85,na,43.5,na,na,32927.6,35193.1,52531.3
"Czechia",2017,73.6,2.9,31.9,1.5,36,29.1,49,73.6,6.3,10,3.8,90,103.1,na,36.9,na,na,138815.7,153417.7,194132.9
"Denmark",2017,73.2,5.8,18.7,2.2,23.6,52.9,59,73.2,7.6,9.8,na,128,101.1,na,na,na,na,141219,162372.6,294808.2
"Germany (until 1990 former territory of the FRG)",2017,75.2,3.6,21.1,1.1,45.1,46.5,58.7,75.2,7.1,9.6,2.7,123,102.1,na,41.7,na,48.7,1309287,1540892,3267160
"Estonia",2017,73.7,5.8,42.5,2.5,36.2,38.6,56.5,73.7,9.6,10.5,2.1,79,104.48,na,41.9,na,na,17101.5,18068.2,23833.6
"Ireland",2017,67.7,6.7,24.2,2.3,47.9,40,52.2,67.7,10.9,12.8,1,181,100.1,na,44.2,na,na,294028.1,359654.9,296925.2
"Greece",2017,53.5,21.8,19.1,3.8,65.8,14.1,29.2,53.5,13.1,21,0.6,66,101.15,na,na,na,na,64649.1,61976.5,176903.4
"Spain",2017,61.1,17.2,31.3,6.3,45.5,20.5,36.5,61.1,13.3,16.4,0.6,92,101.69,na,36.9,na,43.3,366489,408390,1161867
"France",2017,64.7,9.4,30.2,3.8,32.6,28.7,44,64.7,11.3,13.2,na,103,101.47,na,47.7,na,59.3,735421,710965,2297242
"Croatia",2017,58.9,11.2,22.5,4.6,42.4,25.9,40.9,58.9,15.4,17.9,1.7,63,100.67,na,41.2,na,na,24262.5,24571.9,49888.8
"Italy",2017,58,11.3,22.8,2.7,61.3,17.1,30.3,58,21.1,24.2,1.2,97,101.3,na,na,na,na,483996.1,533719.8,1736592.8
"Cyprus",2017,65.6,11.1,34.3,4.8,41.6,27.6,47.3,65.6,16.1,17.6,1.1,89,99.45,na,na,na,na,15067.1,14969.3,20245.3
"Latvia",2017,70.1,8.7,35.6,4.7,38.1,33,53.4,70.1,10.3,12.3,1.9,67,103,na,43.7,na,na,16789.5,16615.3,26984.4
"Lithuania",2017,70.4,7.1,28.7,3,38.2,30.4,48.9,70.4,9.1,10.2,1.6,78,104.42,na,48.2,na,na,30133.8,31113.3,42276.3
"Luxembourg",2017,66.3,5.5,42.4,2.4,40,25.8,46.7,66.3,5.9,6.6,1.5,267,102.15,na,46.9,na,59.1,93678.8,112118.9,58168.8
"Hungary",2017,68.2,4,39.9,2.1,41.4,29,46.8,68.2,10.4,11.2,2.3,68,102.84,na,45.9,na,na,100741.9,109139,127046
"Malta",2017,69.2,4,44.1,0.3,52.9,47.3,64.2,69.2,8.6,8.8,2.1,101,102.18,na,43.6,na,52.3,16249.4,18477.3,11954.7
"Netherlands",2017,75.8,5.9,40.8,1.2,35.1,62.3,69.3,75.8,5.3,6.5,2.5,128,101.4,na,43.3,na,51.2,536163,615553,738146
"Austria",2017,72.2,5.9,37.3,3,40.1,50.6,61.9,72.2,7.1,8.8,2.4,126,103.22,na,na,na,na,187959.7,199644.4,369361.9
"Poland",2017,66.1,5,26.7,2.3,39.9,29.6,49,66.1,12,13.7,1,69,101.4,na,47.3,na,na,235552.5,253163,467426.6
"Portugal",2017,67.8,9.2,32.9,3.8,51.5,25.9,43.3,67.8,9.3,10.6,0.9,77,102.2,na,48.5,na,67.4,81739.1,83717,195947.2
"Romania",2017,63.9,6.1,22.7,0.3,41.1,24.5,43.3,63.9,19.1,22.1,1.3,63,100,na,44.6,na,na,83547.5,78910.7,187772.7
"Slovenia",2017,69.3,6.6,30,3.1,49.6,34.7,51.1,69.3,6,7.9,2.2,85,101.4,na,49.4,na,na,31892.4,35753.4,43011.3
"Slovakia",2017,66.2,8.1,na,na,73.6,26.9,45.1,66.2,12.2,15.1,1.1,70,100.9,na,39.3,na,49.1,78650,80498.8,84442.9
"Finland",2017,70,8.7,26,3.8,35.9,42.5,53.8,70,8.6,10.4,1.9,110,101.23,na,na,na,na,84871,84975,226301
"Sweden",2017,76.9,6.8,36.8,1.7,21.5,44.9,58.1,76.9,6.2,6.8,2.3,121,103.02,na,na,na,na,197770.7,209937.8,480025.5
"United Kingdom",2017,74.1,na,37.4,1.2,na,50.5,62.8,74.1,na,na,2.6,106,103.4,na,44.6,na,54.5,744586.9,710493.1,2359789.9
"Belgium",2018,64.5,6,25.7,1.4,45.8,25,43.4,64.5,8.5,11.4,3.5,117,106.44,na,na,na,na,383100.1,381989.4,460029.4
"Bulgaria",2018,67.7,6.2,26.2,3.3,58,20.7,40.8,67.7,15,18.2,0.9,51,102.48,na,43.6,na,62.5,35509.2,36937.3,56224.7
"Czechia",2018,74.8,2.2,32.5,1.2,31.4,28.4,49,74.8,5.6,9.5,5.5,91,105.1,na,37.9,na,na,149799.5,162328.3,210927.8
"Denmark",2018,74.1,5.1,31.1,2.7,21.7,53.7,60.4,74.1,7.7,9.6,na,128,101.8,na,na,na,na,152419.6,170996.5,302328.7
"Germany (until 1990 former territory of the FRG)",2018,75.9,3.2,20.7,1,44.4,47.2,59.4,75.9,6.7,9,3.1,123,104,na,40.5,na,47.3,1385314,1593033,3367860
"Estonia",2018,74.4,5.4,48,2.4,25,40.6,57.6,74.4,10.2,11.5,1.9,81,108.05,na,41.7,na,na,18555.5,19226.2,25817.7
"Ireland",2018,68.6,5.8,28.7,1.8,39.4,40.3,52.6,68.6,10.1,11.6,1,188,100.8,na,44.6,na,na,307898,401001.3,326042.8
"Greece",2018,54.9,19.7,19.5,4.7,63.6,14,30,54.9,12.1,19.2,0.6,66,101.94,na,46.2,na,55,73900.8,70014.8,179557.7
"Spain",2018,62.4,15.3,28.1,6.2,42.7,21.7,37.7,62.4,12.4,15.3,0.7,90,103.46,na,37.9,na,44.2,390404,423097,1203259
"France",2018,65.3,9,37.4,3.1,29.6,29.7,44.7,65.3,10.9,12.9,na,103,103.6,na,48,na,59.8,773375,749491,2363306
"Croatia",2018,60.6,8.5,24.1,3.7,41.5,25.6,41.3,60.6,13.6,15.6,1.7,64,102.23,na,44.9,na,na,26524.6,26086.4,52688.8
"Italy",2018,58.5,10.6,22.1,3,61.4,17.7,30.8,58.5,20.3,23.5,1.3,96,102.5,na,na,na,na,512817.7,555394.1,1771391.2
"Cyprus",2018,68.6,8.4,36.4,3.7,32.4,31.3,50.5,68.6,13.2,14.9,1.4,90,100.23,na,na,na,na,15944.3,16225.4,21612.6
"Latvia",2018,71.8,7.4,37.6,4.2,42.8,33.1,52.1,71.8,7.8,11.6,2.5,69,105.63,na,45.4,na,na,18126.9,17923,29153.6
"Lithuania",2018,72.4,6.2,27.7,3.4,32.8,32.4,50.7,72.4,8,9.3,1.5,81,107.07,na,46.3,na,52,33401.5,34229.9,45514.8
"Luxembourg",2018,67.1,5.6,40.6,2.3,26,28.4,48.1,67.1,5.3,7.5,1.7,259,104.21,na,46.7,na,59.4,98820.4,118563.3,60362.2
"Hungary",2018,69.2,3.6,39.5,2,39.7,29,47.1,69.2,9.8,10.6,2.7,71,105.84,na,44.8,na,na,108171.1,113953.6,136073.4
"Malta",2018,71.9,3.7,20.9,0.3,51.7,50.9,68,71.9,7.3,7.3,2.6,101,103.95,na,42.6,na,51.4,16553.7,18812.7,12957.1
"Netherlands",2018,77.2,4.9,44.3,1.5,30.1,63.9,70.9,77.2,5.5,6.3,3,128,103.02,na,43.3,na,51.4,573832,655439,773987
"Austria",2018,73,5.2,38.4,2.8,34.3,51.3,62.7,73,7.5,8.8,2.9,126,105.41,na,na,na,na,202120.3,213681.6,385424
"Poland",2018,67.4,3.9,29.7,1.9,34.6,31,50.2,67.4,11,12.9,1.2,70,102.6,na,46.3,na,na,259768.2,275015.4,497842.3
"Portugal",2018,69.7,7.2,28.4,3.3,45.6,27.2,44.7,69.7,8.4,9.6,0.9,78,103.4,na,49.4,na,67.7,88194.4,89143.7,205184.1
"Romania",2018,64.8,5.3,18.9,0.1,42.8,24.7,43,64.8,18.3,21.3,1.3,65,104.08,na,44.4,na,na,92585.9,85605.9,204496.9
"Slovenia",2018,71.1,5.1,27.4,2.8,44.5,35.2,51.8,71.1,6,7.5,2.5,87,103.36,na,50.1,na,na,35026.5,38899.9,45864.2
"Slovakia",2018,67.6,6.5,na,na,72.8,27.5,45.9,67.6,10.3,13.8,1.2,69,103.46,na,40.7,na,50.6,84430.7,86111.1,89430
"Finland",2018,72.1,7.5,30.6,2.6,32.6,44,55.5,72.1,7.9,9.6,2.2,110,102.42,na,na,na,na,92739,89810,233468
"Sweden",2018,77.4,6.5,30.6,1.1,20.2,44.7,58.1,77.4,6.1,6.9,2.5,119,105.12,na,na,na,na,204498.7,215017.9,470673.1
"United Kingdom",2018,74.7,na,32.2,1.3,na,50.6,62.6,74.7,na,na,2.7,106,105.9,na,45.1,na,55.5,776625.1,747816.8,2420897.2
"Belgium",2019,65.3,5.5,25.3,1.5,40.9,26.6,45.1,65.3,8.6,11.2,3.5,117,107.77,na,na,na,na,389855.3,392988.7,478160.7
"Bulgaria",2019,70.1,5.2,26.3,2.7,56.1,21.8,42.1,70.1,13.6,16.7,0.9,53,104.99,na,43.2,na,na,37369.5,39356.7,61558
"Czechia",2019,75.1,2,35.3,1.1,30.9,28,48.8,75.1,5.7,9.8,6.2,92,107.8,na,38.4,na,na,153171.8,166682.7,225568.7
"Denmark",2019,75,5,31.4,2.6,18.6,55,61.2,75,7.7,9.6,na,126,102.5,na,na,na,na,160228.6,183178.5,310475.6
"Germany (until 1990 former territory of the FRG)",2019,76.7,3,22.3,1.4,40.9,48.5,60.4,76.7,6.4,8.7,3.3,120,105.5,na,40.8,na,47.7,1423220,1619423,3473350
"Estonia",2019,74.8,4.5,48.9,2.3,20.8,38.4,55.7,74.8,7.7,9.7,1.9,82,110.5,na,38.2,na,na,19382.2,20534.8,27732.3
"Ireland",2019,69.5,5,27.2,2.7,34.6,41.2,53.4,69.5,10.1,11.4,1,189,101.7,na,44.5,na,na,443544.1,456096.7,356526.3
"Greece",2019,56.5,17.9,23.5,4.3,63.2,14.6,31.3,56.5,10.8,17.5,0.6,65,102.46,na,50.4,na,60,76706.2,73542.3,183250.4
"Spain",2019,63.3,14.1,29.6,5.6,38.7,22.3,38.2,63.3,12.1,14.9,0.7,90,104.26,na,45.6,na,53.3,398507,434967,1244375
"France",2019,65.6,8.4,27.2,3.3,28,29.6,44.6,65.6,10.5,12.4,na,105,104.95,na,48.2,na,59.7,793436,770099,2437635
"Croatia",2019,62.1,6.6,24,3.2,37.3,27.7,43.5,62.1,11.8,14.2,1.5,66,103.04,na,46.9,na,na,28372.6,28201.1,55571.4
"Italy",2019,59,9.9,22.6,2.4,59.2,18.5,31.8,59,19,22.3,1.4,96,103.2,na,na,na,na,508030.4,567784.4,1796633.8
"Cyprus",2019,70.5,7.1,36.9,3.8,29.9,32.4,53.7,70.5,13.7,14.1,1.7,91,100.78,na,na,na,na,17345,17394.1,23009.9
"Latvia",2019,72.3,6.3,37.8,4.2,39.2,31.8,51.9,72.3,7.9,10.3,3.1,69,108.53,na,42.3,na,na,18554.5,18338.4,30647.2
"Lithuania",2019,73,6.3,25,3.3,31.3,32.9,50.4,73,8.6,10.9,1.4,83,109.47,na,45.7,na,na,35205.4,37775.9,48859.9
"Luxembourg",2019,67.9,5.6,40,2.3,23.4,28.7,50.5,67.9,5.6,6.5,1.7,252,105.93,na,47,na,59.7,109495.4,128845.8,62704.2
"Hungary",2019,70.1,3.3,39.8,2.4,33.1,28.5,47.1,70.1,10.5,11,2.5,72,109.46,na,43.7,na,na,116101.9,119485.4,146113.2
"Malta",2019,73.1,3.6,37.1,0.5,26.3,50.7,68,73.1,8.6,7.9,2.5,102,105.54,na,44,na,50.3,18150,20512.8,14042.2
"Netherlands",2019,78.2,4.4,42.1,1.5,23.8,65.3,72.2,78.2,5.5,6.3,3.3,127,105.78,na,43.3,na,51.2,591359,671077,813055
"Austria",2019,73.6,4.8,33.3,3.3,29.6,51.6,63.4,73.6,7.8,8.6,3,125,106.98,na,na,na,na,206852.8,220393.1,397518.5
"Poland",2019,68.2,3.3,28.5,1.6,27.6,31.7,50.8,68.2,10.3,12.7,1.1,72,104.8,na,46.2,na,na,270212.2,295592.2,533599.9
"Portugal",2019,70.5,6.7,32.9,3.2,44,28,45.7,70.5,8,9.2,1,78,103.71,na,50,na,67.4,92301.8,93271,214374.6
"Romania",2019,65.8,4.9,27.3,0.1,42,24.7,42.4,65.8,18.4,20.9,1.1,69,108.15,na,43.9,na,na,99317.5,90120.2,223162.5
"Slovenia",2019,71.8,4.4,31.9,2.2,44.5,33.3,51.1,71.8,6.3,7.5,2.3,88,105.11,na,50.5,na,na,36448.9,40635.6,48396.7
"Slovakia",2019,68.4,5.7,22.8,1.1,68.9,24.9,45,68.4,10.4,13.7,1.1,69,106.33,na,41.2,na,50.7,86398.1,86773.2,94048
"Finland",2019,72.9,6.8,28.5,2.5,26.7,44.6,56.5,72.9,7.5,9.1,2.2,109,103.58,na,na,na,na,95283,95657,239852
"Sweden",2019,77.1,7,46.2,1.8,16.3,43.9,57.4,77.1,5.5,6.3,2.4,118,106.93,na,na,na,na,208032.5,227987.6,476869.5
"United Kingdom",2019,75.2,na,na,na,na,50.3,63.1,75.2,na,na,2.6,106,107.8,na,45.9,na,56.3,816551,785255.8,2526615.2
