Activitati ale industriei CAEN Rev.2 - total  sectiuni si diviziuni  mari grupe industriale, Luni, UM: Procente, Valoare
Activitati de servicii anexe extractiei, Luna ianuarie 2010, Procente, 107.7
Activitati de servicii anexe extractiei, Luna februarie 2010, Procente, 115.9
Activitati de servicii anexe extractiei, Luna martie 2010, Procente, 104
Activitati de servicii anexe extractiei, Luna aprilie 2010, Procente, 115.8
Activitati de servicii anexe extractiei, Luna mai 2010, Procente, 105.1
Activitati de servicii anexe extractiei, Luna iunie 2010, Procente, 120.9
Activitati de servicii anexe extractiei, Luna iulie 2010, Procente, 141.5
Activitati de servicii anexe extractiei, Luna august 2010, Procente, 107.5
Activitati de servicii anexe extractiei, Luna septembrie 2010, Procente, 98.5
Activitati de servicii anexe extractiei, Luna octombrie 2010, Procente, 106.7
Activitati de servicii anexe extractiei, Luna noiembrie 2010, Procente, 122.6
Activitati de servicii anexe extractiei, Luna decembrie 2010, Procente, 156.6
Activitati de servicii anexe extractiei, Luna ianuarie 2011, Procente, 111.2
Activitati de servicii anexe extractiei, Luna februarie 2011, Procente, 138.5
Activitati de servicii anexe extractiei, Luna martie 2011, Procente, 128.5
Activitati de servicii anexe extractiei, Luna aprilie 2011, Procente, 146.8
Activitati de servicii anexe extractiei, Luna mai 2011, Procente, 128.9
Activitati de servicii anexe extractiei, Luna iunie 2011, Procente, 107
Activitati de servicii anexe extractiei, Luna iulie 2011, Procente, 105.1
Activitati de servicii anexe extractiei, Luna august 2011, Procente, 147.2
Activitati de servicii anexe extractiei, Luna septembrie 2011, Procente, 141.2
Activitati de servicii anexe extractiei, Luna octombrie 2011, Procente, 109.7
Activitati de servicii anexe extractiei, Luna noiembrie 2011, Procente, 109.2
Activitati de servicii anexe extractiei, Luna decembrie 2011, Procente, 136.5
Activitati de servicii anexe extractiei, Luna ianuarie 2012, Procente, 166.1
Activitati de servicii anexe extractiei, Luna februarie 2012, Procente, 99.4
Activitati de servicii anexe extractiei, Luna martie 2012, Procente, 185.4
Activitati de servicii anexe extractiei, Luna aprilie 2012, Procente, 164.8
Activitati de servicii anexe extractiei, Luna mai 2012, Procente, 169.2
Activitati de servicii anexe extractiei, Luna iunie 2012, Procente, 209.1
Activitati de servicii anexe extractiei, Luna iulie 2012, Procente, 206.7
Activitati de servicii anexe extractiei, Luna august 2012, Procente, 222.1
Activitati de servicii anexe extractiei, Luna septembrie 2012, Procente, 232.5
Activitati de servicii anexe extractiei, Luna octombrie 2012, Procente, 238.5
Activitati de servicii anexe extractiei, Luna noiembrie 2012, Procente, 229.5
Activitati de servicii anexe extractiei, Luna decembrie 2012, Procente, 249.8
Activitati de servicii anexe extractiei, Luna ianuarie 2013, Procente, 216.7
Activitati de servicii anexe extractiei, Luna februarie 2013, Procente, 224.4
Activitati de servicii anexe extractiei, Luna martie 2013, Procente, 207.7
Activitati de servicii anexe extractiei, Luna aprilie 2013, Procente, 246.2
Activitati de servicii anexe extractiei, Luna mai 2013, Procente, 234
Activitati de servicii anexe extractiei, Luna iunie 2013, Procente, 268.3
Activitati de servicii anexe extractiei, Luna iulie 2013, Procente, 232.2
Activitati de servicii anexe extractiei, Luna august 2013, Procente, 200
Activitati de servicii anexe extractiei, Luna septembrie 2013, Procente, 240.3
Activitati de servicii anexe extractiei, Luna octombrie 2013, Procente, 220.9
Activitati de servicii anexe extractiei, Luna noiembrie 2013, Procente, 234.5
Activitati de servicii anexe extractiei, Luna decembrie 2013, Procente, 262.9
Activitati de servicii anexe extractiei, Luna ianuarie 2014, Procente, 183.1
Activitati de servicii anexe extractiei, Luna februarie 2014, Procente, 215.6
Activitati de servicii anexe extractiei, Luna martie 2014, Procente, 242
Activitati de servicii anexe extractiei, Luna aprilie 2014, Procente, 244.5
Activitati de servicii anexe extractiei, Luna mai 2014, Procente, 278.4
Activitati de servicii anexe extractiei, Luna iunie 2014, Procente, 191.9
Activitati de servicii anexe extractiei, Luna iulie 2014, Procente, 260.6
Activitati de servicii anexe extractiei, Luna august 2014, Procente, 281.5
Activitati de servicii anexe extractiei, Luna septembrie 2014, Procente, 261.4
Activitati de servicii anexe extractiei, Luna octombrie 2014, Procente, 285.5
Activitati de servicii anexe extractiei, Luna noiembrie 2014, Procente, 230.1
Activitati de servicii anexe extractiei, Luna decembrie 2014, Procente, 294.1
Activitati de servicii anexe extractiei, Luna ianuarie 2015, Procente, 140.1
Activitati de servicii anexe extractiei, Luna februarie 2015, Procente, 174.4
Activitati de servicii anexe extractiei, Luna martie 2015, Procente, 218.7
Activitati de servicii anexe extractiei, Luna aprilie 2015, Procente, 175.2
Activitati de servicii anexe extractiei, Luna mai 2015, Procente, 201.9
Activitati de servicii anexe extractiei, Luna iunie 2015, Procente, 155.3
Activitati de servicii anexe extractiei, Luna iulie 2015, Procente, 126.8
Activitati de servicii anexe extractiei, Luna august 2015, Procente, 125.5
Activitati de servicii anexe extractiei, Luna septembrie 2015, Procente, 155.7
Activitati de servicii anexe extractiei, Luna octombrie 2015, Procente, 115.3
Activitati de servicii anexe extractiei, Luna noiembrie 2015, Procente, 108.9
Activitati de servicii anexe extractiei, Luna decembrie 2015, Procente, 134.3
Activitati de servicii anexe extractiei, Luna ianuarie 2016, Procente, 91.2
Activitati de servicii anexe extractiei, Luna februarie 2016, Procente, 83.6
Activitati de servicii anexe extractiei, Luna martie 2016, Procente, 96.1
Activitati de servicii anexe extractiei, Luna aprilie 2016, Procente, 90.2
Activitati de servicii anexe extractiei, Luna mai 2016, Procente, 93.6
Activitati de servicii anexe extractiei, Luna iunie 2016, Procente, 86.6
Activitati de servicii anexe extractiei, Luna iulie 2016, Procente, 99.6
Activitati de servicii anexe extractiei, Luna august 2016, Procente, 95
Activitati de servicii anexe extractiei, Luna septembrie 2016, Procente, 127
Activitati de servicii anexe extractiei, Luna octombrie 2016, Procente, 114.3
Activitati de servicii anexe extractiei, Luna noiembrie 2016, Procente, 117.9
Activitati de servicii anexe extractiei, Luna decembrie 2016, Procente, 126.9
Activitati de servicii anexe extractiei, Luna ianuarie 2017, Procente, 75.2
Activitati de servicii anexe extractiei, Luna februarie 2017, Procente, 114
Activitati de servicii anexe extractiei, Luna martie 2017, Procente, 101.5
Activitati de servicii anexe extractiei, Luna aprilie 2017, Procente, 120
Activitati de servicii anexe extractiei, Luna mai 2017, Procente, 159.5
Activitati de servicii anexe extractiei, Luna iunie 2017, Procente, 152.5
Activitati de servicii anexe extractiei, Luna iulie 2017, Procente, 138.2
Activitati de servicii anexe extractiei, Luna august 2017, Procente, 176.8
Activitati de servicii anexe extractiei, Luna septembrie 2017, Procente, 186.1
Activitati de servicii anexe extractiei, Luna octombrie 2017, Procente, 166.5
Activitati de servicii anexe extractiei, Luna noiembrie 2017, Procente, 153
Activitati de servicii anexe extractiei, Luna decembrie 2017, Procente, 169.8
Activitati de servicii anexe extractiei, Luna ianuarie 2018, Procente, 128.7
Activitati de servicii anexe extractiei, Luna februarie 2018, Procente, 148.6
Activitati de servicii anexe extractiei, Luna martie 2018, Procente, 140.5
Activitati de servicii anexe extractiei, Luna aprilie 2018, Procente, 134.7
Activitati de servicii anexe extractiei, Luna mai 2018, Procente, 160.4
Activitati de servicii anexe extractiei, Luna iunie 2018, Procente, 202.8
Activitati de servicii anexe extractiei, Luna iulie 2018, Procente, 162.6
Activitati de servicii anexe extractiei, Luna august 2018, Procente, 141.1
Activitati de servicii anexe extractiei, Luna septembrie 2018, Procente, 154.2
Activitati de servicii anexe extractiei, Luna octombrie 2018, Procente, 159.8
Activitati de servicii anexe extractiei, Luna noiembrie 2018, Procente, 179.4
Activitati de servicii anexe extractiei, Luna decembrie 2018, Procente, 159.8
Activitati de servicii anexe extractiei, Luna ianuarie 2019, Procente, 120
Activitati de servicii anexe extractiei, Luna februarie 2019, Procente, 131.8
Activitati de servicii anexe extractiei, Luna martie 2019, Procente, 142.2
Activitati de servicii anexe extractiei, Luna aprilie 2019, Procente, 153.3
Activitati de servicii anexe extractiei, Luna mai 2019, Procente, 137.9
Activitati de servicii anexe extractiei, Luna iunie 2019, Procente, 165.9
Activitati de servicii anexe extractiei, Luna iulie 2019, Procente, 119.1
Activitati de servicii anexe extractiei, Luna august 2019, Procente, 106.9
Activitati de servicii anexe extractiei, Luna septembrie 2019, Procente, 147.1
Activitati de servicii anexe extractiei, Luna octombrie 2019, Procente, 142.3
Activitati de servicii anexe extractiei, Luna noiembrie 2019, Procente, 124.7
Activitati de servicii anexe extractiei, Luna decembrie 2019, Procente, 123
Activitati de servicii anexe extractiei, Luna ianuarie 2020, Procente, 121.8
Activitati de servicii anexe extractiei, Luna februarie 2020, Procente, 147.8
Activitati de servicii anexe extractiei, Luna martie 2020, Procente, 118.1
Activitati de servicii anexe extractiei, Luna aprilie 2020, Procente, 82.4
Activitati de servicii anexe extractiei, Luna mai 2020, Procente, 101.7
Activitati de servicii anexe extractiei, Luna iunie 2020, Procente, 92.1
Activitati de servicii anexe extractiei, Luna iulie 2020, Procente, 105.5
Activitati de servicii anexe extractiei, Luna august 2020, Procente, 105.1
Activitati de servicii anexe extractiei, Luna septembrie 2020, Procente, 105.8
Activitati de servicii anexe extractiei, Luna octombrie 2020, Procente, 93.6
Activitati de servicii anexe extractiei, Luna noiembrie 2020, Procente, 94.5
Activitati de servicii anexe extractiei, Luna decembrie 2020, Procente, 144.5
Activitati de servicii anexe extractiei, Luna ianuarie 2021, Procente, 128.6
Activitati de servicii anexe extractiei, Luna februarie 2021, Procente, 116.3
Activitati de servicii anexe extractiei, Luna martie 2021, Procente, 106.8
Activitati de servicii anexe extractiei, Luna aprilie 2021, Procente, 121.5
Activitati de servicii anexe extractiei, Luna mai 2021, Procente, 82.3
Activitati de servicii anexe extractiei, Luna iunie 2021, Procente, 81.1
Activitati de servicii anexe extractiei, Luna iulie 2021, Procente, 79.2
Activitati de servicii anexe extractiei, Luna august 2021, Procente, 78
Activitati de servicii anexe extractiei, Luna septembrie 2021, Procente, 84.2
Activitati de servicii anexe extractiei, Luna octombrie 2021, Procente, 80.6
Activitati de servicii anexe extractiei, Luna noiembrie 2021, Procente, 121.2
Activitati de servicii anexe extractiei, Luna decembrie 2021, Procente, 120.2
Activitati de servicii anexe extractiei, Luna ianuarie 2022, Procente, 97.7
Activitati de servicii anexe extractiei, Luna februarie 2022, Procente, 95.9
Activitati de servicii anexe extractiei, Luna martie 2022, Procente, 83.1
Activitati de servicii anexe extractiei, Luna aprilie 2022, Procente, 88.2
Activitati de servicii anexe extractiei, Luna mai 2022, Procente, 85
Activitati de servicii anexe extractiei, Luna iunie 2022, Procente, 68.2
Activitati de servicii anexe extractiei, Luna iulie 2022, Procente, 69.5
Activitati de servicii anexe extractiei, Luna august 2022, Procente, 70.6
Activitati de servicii anexe extractiei, Luna septembrie 2022, Procente, 78
Activitati de servicii anexe extractiei, Luna octombrie 2022, Procente, 82.6
Activitati de servicii anexe extractiei, Luna noiembrie 2022, Procente, 104
Activitati de servicii anexe extractiei, Luna decembrie 2022, Procente, 107.3
Activitati de servicii anexe extractiei, Luna ianuarie 2023, Procente, 74.5
Activitati de servicii anexe extractiei, Luna februarie 2023, Procente, 84.4
Activitati de servicii anexe extractiei, Luna martie 2023, Procente, 93.8
Activitati de servicii anexe extractiei, Luna aprilie 2023, Procente, 78.6
Activitati de servicii anexe extractiei, Luna mai 2023, Procente, 85.1
Activitati de servicii anexe extractiei, Luna iunie 2023, Procente, 85.6
Activitati de servicii anexe extractiei, Luna iulie 2023, Procente, 86.5
Activitati de servicii anexe extractiei, Luna august 2023, Procente, 74.9
Activitati de servicii anexe extractiei, Luna septembrie 2023, Procente, 89.3
Activitati de servicii anexe extractiei, Luna octombrie 2023, Procente, 75.5
Activitati de servicii anexe extractiei, Luna noiembrie 2023, Procente, 69.2
Activitati de servicii anexe extractiei, Luna decembrie 2023, Procente, 73.6
Activitati de servicii anexe extractiei, Luna ianuarie 2024, Procente, 51.3
Activitati de servicii anexe extractiei, Luna februarie 2024, Procente, 61
Activitati de servicii anexe extractiei, Luna martie 2024, Procente, 64.6
Activitati de servicii anexe extractiei, Luna aprilie 2024, Procente, 57.9
Activitati de servicii anexe extractiei, Luna mai 2024, Procente, 42.8
Activitati de servicii anexe extractiei, Luna iunie 2024, Procente, 52
Activitati de servicii anexe extractiei, Luna iulie 2024, Procente, 51.7
Activitati de servicii anexe extractiei, Luna august 2024, Procente, 51.6
Activitati de servicii anexe extractiei, Luna septembrie 2024, Procente, 64.8
Activitati de servicii anexe extractiei, Luna octombrie 2024, Procente, 64.5
Activitati de servicii anexe extractiei, Luna noiembrie 2024, Procente, 66.1
Activitati de servicii anexe extractiei, Luna decembrie 2024, Procente, 77.5
Activitati de servicii anexe extractiei, Luna ianuarie 2025, Procente, 43.8
Activitati de servicii anexe extractiei, Luna februarie 2025, Procente, 49.6
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2005, Procente, 45.2
INDUSTRIA PRELUCRATOARE, Luna februarie 2005, Procente, 46.9
INDUSTRIA PRELUCRATOARE, Luna martie 2005, Procente, 54.1
INDUSTRIA PRELUCRATOARE, Luna aprilie 2005, Procente, 52.6
INDUSTRIA PRELUCRATOARE, Luna mai 2005, Procente, 50.9
INDUSTRIA PRELUCRATOARE, Luna iunie 2005, Procente, 54.6
INDUSTRIA PRELUCRATOARE, Luna iulie 2005, Procente, 51.1
INDUSTRIA PRELUCRATOARE, Luna august 2005, Procente, 49.6
INDUSTRIA PRELUCRATOARE, Luna septembrie 2005, Procente, 56.3
INDUSTRIA PRELUCRATOARE, Luna octombrie 2005, Procente, 54.8
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2005, Procente, 57
INDUSTRIA PRELUCRATOARE, Luna decembrie 2005, Procente, 49.2
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2006, Procente, 48.6
INDUSTRIA PRELUCRATOARE, Luna februarie 2006, Procente, 51.9
INDUSTRIA PRELUCRATOARE, Luna martie 2006, Procente, 59.8
INDUSTRIA PRELUCRATOARE, Luna aprilie 2006, Procente, 54.1
INDUSTRIA PRELUCRATOARE, Luna mai 2006, Procente, 61.4
INDUSTRIA PRELUCRATOARE, Luna iunie 2006, Procente, 62.6
INDUSTRIA PRELUCRATOARE, Luna iulie 2006, Procente, 58.3
INDUSTRIA PRELUCRATOARE, Luna august 2006, Procente, 55.1
INDUSTRIA PRELUCRATOARE, Luna septembrie 2006, Procente, 63.7
INDUSTRIA PRELUCRATOARE, Luna octombrie 2006, Procente, 65.7
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2006, Procente, 64.8
INDUSTRIA PRELUCRATOARE, Luna decembrie 2006, Procente, 54.1
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2007, Procente, 56.3
INDUSTRIA PRELUCRATOARE, Luna februarie 2007, Procente, 60.9
INDUSTRIA PRELUCRATOARE, Luna martie 2007, Procente, 70.7
INDUSTRIA PRELUCRATOARE, Luna aprilie 2007, Procente, 61.1
INDUSTRIA PRELUCRATOARE, Luna mai 2007, Procente, 69.5
INDUSTRIA PRELUCRATOARE, Luna iunie 2007, Procente, 67.7
INDUSTRIA PRELUCRATOARE, Luna iulie 2007, Procente, 67
INDUSTRIA PRELUCRATOARE, Luna august 2007, Procente, 60.9
INDUSTRIA PRELUCRATOARE, Luna septembrie 2007, Procente, 66.2
INDUSTRIA PRELUCRATOARE, Luna octombrie 2007, Procente, 73.8
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2007, Procente, 71.8
INDUSTRIA PRELUCRATOARE, Luna decembrie 2007, Procente, 58.9
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2008, Procente, 62.1
INDUSTRIA PRELUCRATOARE, Luna februarie 2008, Procente, 69.3
INDUSTRIA PRELUCRATOARE, Luna martie 2008, Procente, 70.6
INDUSTRIA PRELUCRATOARE, Luna aprilie 2008, Procente, 68.4
INDUSTRIA PRELUCRATOARE, Luna mai 2008, Procente, 73.6
INDUSTRIA PRELUCRATOARE, Luna iunie 2008, Procente, 71.9
INDUSTRIA PRELUCRATOARE, Luna iulie 2008, Procente, 72.1
INDUSTRIA PRELUCRATOARE, Luna august 2008, Procente, 60.1
INDUSTRIA PRELUCRATOARE, Luna septembrie 2008, Procente, 72.6
INDUSTRIA PRELUCRATOARE, Luna octombrie 2008, Procente, 74.2
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2008, Procente, 64.3
INDUSTRIA PRELUCRATOARE, Luna decembrie 2008, Procente, 50.3
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2009, Procente, 49.8
INDUSTRIA PRELUCRATOARE, Luna februarie 2009, Procente, 57.7
INDUSTRIA PRELUCRATOARE, Luna martie 2009, Procente, 63.7
INDUSTRIA PRELUCRATOARE, Luna aprilie 2009, Procente, 61.4
INDUSTRIA PRELUCRATOARE, Luna mai 2009, Procente, 65.4
INDUSTRIA PRELUCRATOARE, Luna iunie 2009, Procente, 68.5
INDUSTRIA PRELUCRATOARE, Luna iulie 2009, Procente, 68.6
INDUSTRIA PRELUCRATOARE, Luna august 2009, Procente, 55.6
INDUSTRIA PRELUCRATOARE, Luna septembrie 2009, Procente, 69.5
INDUSTRIA PRELUCRATOARE, Luna octombrie 2009, Procente, 71.8
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2009, Procente, 68
INDUSTRIA PRELUCRATOARE, Luna decembrie 2009, Procente, 56.8
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2010, Procente, 54.4
INDUSTRIA PRELUCRATOARE, Luna februarie 2010, Procente, 58.6
INDUSTRIA PRELUCRATOARE, Luna martie 2010, Procente, 69.1
INDUSTRIA PRELUCRATOARE, Luna aprilie 2010, Procente, 64.4
INDUSTRIA PRELUCRATOARE, Luna mai 2010, Procente, 67.3
INDUSTRIA PRELUCRATOARE, Luna iunie 2010, Procente, 71.9
INDUSTRIA PRELUCRATOARE, Luna iulie 2010, Procente, 69.9
INDUSTRIA PRELUCRATOARE, Luna august 2010, Procente, 56.3
INDUSTRIA PRELUCRATOARE, Luna septembrie 2010, Procente, 74.1
INDUSTRIA PRELUCRATOARE, Luna octombrie 2010, Procente, 74.8
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2010, Procente, 75.5
INDUSTRIA PRELUCRATOARE, Luna decembrie 2010, Procente, 65.6
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2011, Procente, 63.2
INDUSTRIA PRELUCRATOARE, Luna februarie 2011, Procente, 67.6
INDUSTRIA PRELUCRATOARE, Luna martie 2011, Procente, 77.8
INDUSTRIA PRELUCRATOARE, Luna aprilie 2011, Procente, 68.3
INDUSTRIA PRELUCRATOARE, Luna mai 2011, Procente, 75.5
INDUSTRIA PRELUCRATOARE, Luna iunie 2011, Procente, 73.9
INDUSTRIA PRELUCRATOARE, Luna iulie 2011, Procente, 73
INDUSTRIA PRELUCRATOARE, Luna august 2011, Procente, 66.2
INDUSTRIA PRELUCRATOARE, Luna septembrie 2011, Procente, 78.6
INDUSTRIA PRELUCRATOARE, Luna octombrie 2011, Procente, 77.9
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2011, Procente, 79.4
INDUSTRIA PRELUCRATOARE, Luna decembrie 2011, Procente, 64.5
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2012, Procente, 66.2
INDUSTRIA PRELUCRATOARE, Luna februarie 2012, Procente, 68
INDUSTRIA PRELUCRATOARE, Luna martie 2012, Procente, 77.7
INDUSTRIA PRELUCRATOARE, Luna aprilie 2012, Procente, 68.8
INDUSTRIA PRELUCRATOARE, Luna mai 2012, Procente, 79.5
INDUSTRIA PRELUCRATOARE, Luna iunie 2012, Procente, 74.8
INDUSTRIA PRELUCRATOARE, Luna iulie 2012, Procente, 75.6
INDUSTRIA PRELUCRATOARE, Luna august 2012, Procente, 67
INDUSTRIA PRELUCRATOARE, Luna septembrie 2012, Procente, 77.7
INDUSTRIA PRELUCRATOARE, Luna octombrie 2012, Procente, 83.3
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2012, Procente, 81.5
INDUSTRIA PRELUCRATOARE, Luna decembrie 2012, Procente, 65.2
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2013, Procente, 70.6
INDUSTRIA PRELUCRATOARE, Luna februarie 2013, Procente, 75
INDUSTRIA PRELUCRATOARE, Luna martie 2013, Procente, 79.2
INDUSTRIA PRELUCRATOARE, Luna aprilie 2013, Procente, 84.7
INDUSTRIA PRELUCRATOARE, Luna mai 2013, Procente, 78.8
INDUSTRIA PRELUCRATOARE, Luna iunie 2013, Procente, 79.7
INDUSTRIA PRELUCRATOARE, Luna iulie 2013, Procente, 85.8
INDUSTRIA PRELUCRATOARE, Luna august 2013, Procente, 70.4
INDUSTRIA PRELUCRATOARE, Luna septembrie 2013, Procente, 86.8
INDUSTRIA PRELUCRATOARE, Luna octombrie 2013, Procente, 93.1
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2013, Procente, 89.8
INDUSTRIA PRELUCRATOARE, Luna decembrie 2013, Procente, 72.9
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2014, Procente, 79.1
INDUSTRIA PRELUCRATOARE, Luna februarie 2014, Procente, 82.7
INDUSTRIA PRELUCRATOARE, Luna martie 2014, Procente, 89.4
INDUSTRIA PRELUCRATOARE, Luna aprilie 2014, Procente, 86.9
INDUSTRIA PRELUCRATOARE, Luna mai 2014, Procente, 90.1
INDUSTRIA PRELUCRATOARE, Luna iunie 2014, Procente, 89.9
INDUSTRIA PRELUCRATOARE, Luna iulie 2014, Procente, 91.5
INDUSTRIA PRELUCRATOARE, Luna august 2014, Procente, 70.7
INDUSTRIA PRELUCRATOARE, Luna septembrie 2014, Procente, 93.6
INDUSTRIA PRELUCRATOARE, Luna octombrie 2014, Procente, 97.8
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2014, Procente, 90.8
INDUSTRIA PRELUCRATOARE, Luna decembrie 2014, Procente, 76.2
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2015, Procente, 78.7
INDUSTRIA PRELUCRATOARE, Luna februarie 2015, Procente, 83.7
INDUSTRIA PRELUCRATOARE, Luna martie 2015, Procente, 92.8
INDUSTRIA PRELUCRATOARE, Luna aprilie 2015, Procente, 87.2
INDUSTRIA PRELUCRATOARE, Luna mai 2015, Procente, 90.6
INDUSTRIA PRELUCRATOARE, Luna iunie 2015, Procente, 94.1
INDUSTRIA PRELUCRATOARE, Luna iulie 2015, Procente, 96.4
INDUSTRIA PRELUCRATOARE, Luna august 2015, Procente, 80.5
INDUSTRIA PRELUCRATOARE, Luna septembrie 2015, Procente, 97.3
INDUSTRIA PRELUCRATOARE, Luna octombrie 2015, Procente, 98.6
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2015, Procente, 94
INDUSTRIA PRELUCRATOARE, Luna decembrie 2015, Procente, 81.3
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2016, Procente, 79.8
INDUSTRIA PRELUCRATOARE, Luna februarie 2016, Procente, 90.2
INDUSTRIA PRELUCRATOARE, Luna martie 2016, Procente, 99.9
INDUSTRIA PRELUCRATOARE, Luna aprilie 2016, Procente, 97.9
INDUSTRIA PRELUCRATOARE, Luna mai 2016, Procente, 95.2
INDUSTRIA PRELUCRATOARE, Luna iunie 2016, Procente, 98.3
INDUSTRIA PRELUCRATOARE, Luna iulie 2016, Procente, 94.5
INDUSTRIA PRELUCRATOARE, Luna august 2016, Procente, 87.2
INDUSTRIA PRELUCRATOARE, Luna septembrie 2016, Procente, 101.1
INDUSTRIA PRELUCRATOARE, Luna octombrie 2016, Procente, 100
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2016, Procente, 100.2
INDUSTRIA PRELUCRATOARE, Luna decembrie 2016, Procente, 82.2
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2017, Procente, 84.3
INDUSTRIA PRELUCRATOARE, Luna februarie 2017, Procente, 93.5
INDUSTRIA PRELUCRATOARE, Luna martie 2017, Procente, 111.5
INDUSTRIA PRELUCRATOARE, Luna aprilie 2017, Procente, 95.2
INDUSTRIA PRELUCRATOARE, Luna mai 2017, Procente, 110.8
INDUSTRIA PRELUCRATOARE, Luna iunie 2017, Procente, 105.6
INDUSTRIA PRELUCRATOARE, Luna iulie 2017, Procente, 102.3
INDUSTRIA PRELUCRATOARE, Luna august 2017, Procente, 94.5
INDUSTRIA PRELUCRATOARE, Luna septembrie 2017, Procente, 108.2
INDUSTRIA PRELUCRATOARE, Luna octombrie 2017, Procente, 112.7
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2017, Procente, 111.2
INDUSTRIA PRELUCRATOARE, Luna decembrie 2017, Procente, 91.3
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2018, Procente, 94.9
INDUSTRIA PRELUCRATOARE, Luna februarie 2018, Procente, 100
INDUSTRIA PRELUCRATOARE, Luna martie 2018, Procente, 111.5
INDUSTRIA PRELUCRATOARE, Luna aprilie 2018, Procente, 101.1
INDUSTRIA PRELUCRATOARE, Luna mai 2018, Procente, 112.9
INDUSTRIA PRELUCRATOARE, Luna iunie 2018, Procente, 112.3
INDUSTRIA PRELUCRATOARE, Luna iulie 2018, Procente, 110.6
INDUSTRIA PRELUCRATOARE, Luna august 2018, Procente, 98.4
INDUSTRIA PRELUCRATOARE, Luna septembrie 2018, Procente, 109.3
INDUSTRIA PRELUCRATOARE, Luna octombrie 2018, Procente, 117.5
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2018, Procente, 114.5
INDUSTRIA PRELUCRATOARE, Luna decembrie 2018, Procente, 90.7
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2019, Procente, 94.3
INDUSTRIA PRELUCRATOARE, Luna februarie 2019, Procente, 103.1
INDUSTRIA PRELUCRATOARE, Luna martie 2019, Procente, 112.8
INDUSTRIA PRELUCRATOARE, Luna aprilie 2019, Procente, 102.7
INDUSTRIA PRELUCRATOARE, Luna mai 2019, Procente, 112.7
INDUSTRIA PRELUCRATOARE, Luna iunie 2019, Procente, 104
INDUSTRIA PRELUCRATOARE, Luna iulie 2019, Procente, 107.9
INDUSTRIA PRELUCRATOARE, Luna august 2019, Procente, 92.3
INDUSTRIA PRELUCRATOARE, Luna septembrie 2019, Procente, 108.3
INDUSTRIA PRELUCRATOARE, Luna octombrie 2019, Procente, 113.4
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2019, Procente, 109.1
INDUSTRIA PRELUCRATOARE, Luna decembrie 2019, Procente, 88.7
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2020, Procente, 93.1
INDUSTRIA PRELUCRATOARE, Luna februarie 2020, Procente, 101.1
INDUSTRIA PRELUCRATOARE, Luna martie 2020, Procente, 96.6
INDUSTRIA PRELUCRATOARE, Luna aprilie 2020, Procente, 56.6
INDUSTRIA PRELUCRATOARE, Luna mai 2020, Procente, 74.8
INDUSTRIA PRELUCRATOARE, Luna iunie 2020, Procente, 93
INDUSTRIA PRELUCRATOARE, Luna iulie 2020, Procente, 100.5
INDUSTRIA PRELUCRATOARE, Luna august 2020, Procente, 88.5
INDUSTRIA PRELUCRATOARE, Luna septembrie 2020, Procente, 109
INDUSTRIA PRELUCRATOARE, Luna octombrie 2020, Procente, 112.3
INDUSTRIA PRELUCRATOARE, Luna noiembrie 2020, Procente, 105
INDUSTRIA PRELUCRATOARE, Luna decembrie 2020, Procente, 91.2
INDUSTRIA PRELUCRATOARE, Luna ianuarie 2021, Procente, 89.4
INDUSTRIA PRELUCRATOARE, Luna februarie 2021, Procente, 95
INDUSTRIA PRELUCRATOARE, Luna martie 2021, Procente, 108.5
INDUSTRIA PRELUCRATOARE, Luna aprilie 2021, Procente, 104
INDUSTRIA PRELUCRATOARE, Luna mai 2021, Procente, 99
